timestep_superordinate_dispatch,region_dispatch,technology,carrier,variable,value
2020,West,gasTurbine,none,expConv,36.81747496919567
2030,West,gasTurbine,none,expConv,0.0
2020,East,gasTurbine,none,capaConv,45.99856844395429
2030,East,gasTurbine,none,capaConv,45.99856844395429
2020,West,gasTurbine,none,capaConv,36.81747496919567
2030,West,gasTurbine,none,capaConv,36.81747496919567
2020,East,gasTurbine,none,oprCapaConv,45.99856844395429
2030,East,gasTurbine,none,oprCapaConv,45.99856844395429
2020,West,gasTurbine,none,oprCapaConv,36.81747496919567
2030,West,gasTurbine,none,oprCapaConv,36.81747496919567
2020,East,electrolysis,none,expConv,0.0
2030,East,electrolysis,none,expConv,0.0
2020,West,electrolysis,none,expConv,0.0
2030,West,electrolysis,none,expConv,0.0
2020,East,electrolysis,none,capaConv,0.0
2030,East,electrolysis,none,capaConv,0.0
2020,West,electrolysis,none,capaConv,0.0
2030,West,electrolysis,none,capaConv,0.0
2020,East,electrolysis,none,oprCapaConv,0.0
2030,East,electrolysis,none,oprCapaConv,0.0
2020,West,electrolysis,none,oprCapaConv,0.0
2030,West,electrolysis,none,oprCapaConv,0.0
2020,East,hydrogenTurbine,none,expConv,14.793829866204987
2030,East,hydrogenTurbine,none,expConv,23.129482936461876
2020,West,hydrogenTurbine,none,expConv,28.66529062676026
2030,West,hydrogenTurbine,none,expConv,3.348025777490996
2020,East,hydrogenTurbine,none,capaConv,14.793829866204987
2030,East,hydrogenTurbine,none,capaConv,37.923312802666864
2020,West,hydrogenTurbine,none,capaConv,28.66529062676026
2030,West,hydrogenTurbine,none,capaConv,32.013316404251256
2020,East,hydrogenTurbine,none,oprCapaConv,14.793829866204987
2030,East,hydrogenTurbine,none,oprCapaConv,37.923312802666864
2020,West,hydrogenTurbine,none,oprCapaConv,28.66529062676026
2030,West,hydrogenTurbine,none,oprCapaConv,32.013316404251256
2020,East,gasTurbine,gas,use,-375.184841345005
2020,East,gasTurbine,biogas,use,-0.0
2030,East,gasTurbine,gas,use,-8.160634232741646
2030,East,gasTurbine,biogas,use,-0.0
2020,West,gasTurbine,gas,use,-259.79885454112434
2020,West,gasTurbine,biogas,use,-0.0
2030,West,gasTurbine,gas,use,-13.11596151193732
2030,West,gasTurbine,biogas,use,-0.0
2020,East,electrolysis,electricity,use,-0.0
2030,East,electrolysis,electricity,use,-0.0
2020,West,electrolysis,electricity,use,-0.0
2030,West,electrolysis,electricity,use,-0.0
2020,East,hydrogenTurbine,hydrogen,use,-20.10628921328336
2030,East,hydrogenTurbine,hydrogen,use,-217.69675529725407
2020,West,hydrogenTurbine,hydrogen,use,-37.44766500628645
2030,West,hydrogenTurbine,hydrogen,use,-146.757465769229
2020,East,wind,electricity,gen,0.0
2030,East,wind,electricity,gen,46.80021964465671
2020,West,wind,electricity,gen,8.269775362269824
2030,West,wind,electricity,gen,80.30577430919317
2020,East,solar,electricity,gen,8.59019044419589
2030,East,solar,electricity,gen,36.30966000000006
2020,West,solar,electricity,gen,44.71224985771026
2030,West,solar,electricity,gen,47.848195985081134
2020,East,gasTurbine,electricity,gen,172.5850270187228
2030,East,gasTurbine,electricity,gen,3.753891747061162
2020,West,gasTurbine,electricity,gen,119.50747308891475
2030,West,gasTurbine,electricity,gen,6.033342295491168
2020,East,electrolysis,hydrogen,gen,0.0
2030,East,electrolysis,hydrogen,gen,0.0
2020,West,electrolysis,hydrogen,gen,0.0
2030,West,electrolysis,hydrogen,gen,0.0
2020,East,hydrogenTurbine,electricity,gen,9.24889303811034
2030,East,hydrogenTurbine,electricity,gen,100.14050743674625
2020,West,hydrogenTurbine,electricity,gen,17.225925902891774
2030,West,hydrogenTurbine,electricity,gen,67.5084342538444
2020,East,battery,electricity,stIn,-0.26405032942633255
2030,East,battery,electricity,stIn,-0.333765228547151
2020,West,battery,electricity,stIn,-2.7590842676700342
2030,West,battery,electricity,stIn,-4.189920023544131
2020,East,hydrogenStorage,hydrogen,stIn,-0.0
2030,East,hydrogenStorage,hydrogen,stIn,-0.0
2020,West,hydrogenStorage,hydrogen,stIn,-0.0
2030,West,hydrogenStorage,hydrogen,stIn,-0.0
2020,East,battery,electricity,stOut,0.24325841707974977
2030,East,battery,electricity,stOut,0.3074362617425972
2020,West,battery,electricity,stOut,2.5413419947044336
2030,West,battery,electricity,stOut,3.860011397328502
2020,East,hydrogenStorage,hydrogen,stOut,0.0
2030,East,hydrogenStorage,hydrogen,stOut,0.0
2020,West,hydrogenStorage,hydrogen,stOut,0.0
2030,West,hydrogenStorage,hydrogen,stOut,0.0
2020,East,battery,electricity,stExtIn,-0.26405032942633255
2030,East,battery,electricity,stExtIn,-0.333765228547151
2020,West,battery,electricity,stExtIn,-2.7590842676700342
2030,West,battery,electricity,stExtIn,-4.189920023544131
2020,East,hydrogenStorage,hydrogen,stExtIn,-0.0
2030,East,hydrogenStorage,hydrogen,stExtIn,-0.0
2020,West,hydrogenStorage,hydrogen,stExtIn,-0.0
2030,West,hydrogenStorage,hydrogen,stExtIn,-0.0
2020,East,battery,electricity,stExtOut,0.24325841707974977
2030,East,battery,electricity,stExtOut,0.3074362617425972
2020,West,battery,electricity,stExtOut,2.5413419947044336
2030,West,battery,electricity,stExtOut,3.860011397328502
2020,East,hydrogenStorage,hydrogen,stExtOut,0.0
2030,East,hydrogenStorage,hydrogen,stExtOut,0.0
2020,West,hydrogenStorage,hydrogen,stExtOut,0.0
2030,West,hydrogenStorage,hydrogen,stExtOut,0.0
2020,East,gasTurbine,gas,emission,88.16843771608077
2030,East,gasTurbine,gas,emission,1.9177490446942882
2020,West,gasTurbine,gas,emission,61.05273081715875
2030,West,gasTurbine,gas,emission,3.082250955305275
2020,East,none,gas,trdBuy,375.184841345005
2020,West,none,gas,trdBuy,259.79885454112434
2030,East,none,gas,trdBuy,8.160634232741646
2030,West,none,gas,trdBuy,13.11596151193732
2020,East,none,hydrogen,trdBuy,20.10628921328336
2020,West,none,hydrogen,trdBuy,37.44766500628645
2030,East,none,hydrogen,trdBuy,217.69675529725407
2030,West,none,hydrogen,trdBuy,146.757465769229
2020,East,none,electricity,export,-2.9542518192322316
2030,East,none,electricity,export,-1.7444414571399793
2020,West,none,electricity,export,-3.916402979532836
2030,West,none,electricity,export,-7.456835511872457
2020,West,none,electricity,import,2.806539228270628
2030,West,none,electricity,import,1.657219384282983
2020,East,none,electricity,import,3.720582830556194
2030,East,none,electricity,import,7.083993736279043
2020,East,battery,none,flhStIn,513.0940311943144
2030,East,battery,none,flhStIn,648.5617607817726
2020,West,battery,none,flhStIn,797.1168815982564
2030,West,battery,none,flhStIn,1210.494373966331
2030,East,wind,none,flhConv,1916.6023000000037
2020,West,wind,none,flhConv,2115.3485596360074
2030,West,wind,none,flhConv,2115.348559636
2020,East,solar,none,flhConv,907.7414999999993
2030,East,solar,none,flhConv,907.7415000000015
2020,West,solar,none,flhConv,1116.771025124999
2030,West,solar,none,flhConv,1116.7710251249966
2020,East,gasTurbine,none,flhConv,8156.4460381444005
2030,East,gasTurbine,none,flhConv,177.41061317342408
2020,West,gasTurbine,none,flhConv,7056.400656440781
2030,West,gasTurbine,none,flhConv,356.24283096304515
2020,East,hydrogenTurbine,none,flhConv,1359.0996648686728
2030,East,hydrogenTurbine,none,flhConv,5740.446685922046
2020,West,hydrogenTurbine,none,flhConv,1306.3766034636842
2030,West,hydrogenTurbine,none,flhConv,4584.263120884911
2020,East,battery,none,flhStOut,472.69186186044374
2020,West,battery,none,flhStOut,734.2097628660594
2030,East,battery,none,flhStOut,597.400166913363
2030,West,battery,none,flhStOut,1115.181686919102
2020,East,battery,electricity,cycStIn,394.254155386844
2030,East,battery,electricity,cycStIn,498.34563192645373
2020,West,battery,electricity,cycStIn,401.6751996725738
2030,West,battery,electricity,cycStIn,609.9802683773908
2020,East,battery,electricity,cycStOut,363.20970314590767
2030,East,battery,electricity,cycStOut,459.0337909138349
2020,West,battery,electricity,cycStOut,369.9756709573902
2030,West,battery,electricity,cycStOut,561.9512484370997
