timestep_superordinate_dispatch,region_dispatch,technology,carrier,variable,value
2025,Mid,hydro,none,oprCapaConv,1.4
2025,North,hydro,none,oprCapaConv,20.0
2025,South,hydro,none,oprCapaConv,0.0
2025,Mid,lignitePlant,none,expConv,0.0
2025,North,lignitePlant,none,expConv,0.0
2025,South,lignitePlant,none,expConv,6.748637951068442
2025,Mid,lignitePlant,none,capaConv,0.0
2025,North,lignitePlant,none,capaConv,0.0
2025,South,lignitePlant,none,capaConv,6.748637951068442
2025,Mid,lignitePlant,none,oprCapaConv,0.0
2025,North,lignitePlant,none,oprCapaConv,0.0
2025,South,lignitePlant,none,oprCapaConv,6.748637951068442
2025,Mid,biomassPlant,none,expConv,0.0
2025,North,biomassPlant,none,expConv,0.0
2025,South,biomassPlant,none,expConv,0.0
2025,Mid,biomassPlant,none,capaConv,0.0
2025,North,biomassPlant,none,capaConv,0.0
2025,South,biomassPlant,none,capaConv,0.0
2025,Mid,biomassPlant,none,oprCapaConv,0.0
2025,North,biomassPlant,none,oprCapaConv,0.0
2025,South,biomassPlant,none,oprCapaConv,0.0
2025,Mid,coalPlant,coal,use,-473.5312335992604
2025,North,coalPlant,coal,use,-18.704652950151203
2025,South,coalPlant,coal,use,-7.632508213287344
2025,Mid,gasTurbine,gas,use,-0.0
2025,North,gasTurbine,gas,use,-0.0
2025,South,gasTurbine,gas,use,-0.0
2025,Mid,lignitePlant,lignite,use,-0.0
2025,North,lignitePlant,lignite,use,-0.0
2025,South,lignitePlant,lignite,use,-0.098703927975629
2025,Mid,biomassPlant,biomass,use,-0.0
2025,North,biomassPlant,biomass,use,-0.0
2025,South,biomassPlant,biomass,use,-0.0
2025,Mid,wind,electricity,gen,0.0
2025,North,wind,electricity,gen,9.133347540740733
2025,South,wind,electricity,gen,7.182009989535529
2025,Mid,coalPlant,electricity,gen,473.5312335992604
2025,North,coalPlant,electricity,gen,18.704652950151203
2025,South,coalPlant,electricity,gen,7.632508213287344
2025,Mid,solar,electricity,gen,0.0
2025,North,solar,electricity,gen,0.0
2025,South,solar,electricity,gen,33.14924557268988
2025,Mid,gasTurbine,electricity,gen,0.0
2025,North,gasTurbine,electricity,gen,0.0
2025,South,gasTurbine,electricity,gen,0.0
2025,Mid,hydro,electricity,gen,5.459991739999968
2025,North,hydro,electricity,gen,79.99990400000002
2025,South,hydro,electricity,gen,0.0
2025,Mid,lignitePlant,electricity,gen,0.0
2025,North,lignitePlant,electricity,gen,0.0
2025,South,lignitePlant,electricity,gen,0.03948157119025159
2025,Mid,biomassPlant,electricity,gen,0.0
2025,North,biomassPlant,electricity,gen,0.0
2025,South,biomassPlant,electricity,gen,0.0
2025,Mid,pumpedHydro,electricity,stIn,-0.0
2025,North,pumpedHydro,electricity,stIn,-0.0
2025,South,pumpedHydro,electricity,stIn,-5.1587065049688245
2025,Mid,hydrogenStorage,electricity,stIn,-0.0
2025,North,hydrogenStorage,electricity,stIn,-0.3704928145833355
2025,South,hydrogenStorage,electricity,stIn,-1.4147103683688225
2025,Mid,pumpedHydro,electricity,stOut,0.0
2025,North,pumpedHydro,electricity,stOut,0.0
2025,South,pumpedHydro,electricity,stOut,4.5582330677904475
2025,Mid,hydrogenStorage,electricity,stOut,0.0
2025,North,hydrogenStorage,electricity,stOut,0.15175385685333329
2025,South,hydrogenStorage,electricity,stOut,0.5794653668838625
2025,Mid,pumpedHydro,electricity,stExtIn,-0.0
2025,North,pumpedHydro,electricity,stExtIn,-0.0
2025,South,pumpedHydro,electricity,stExtIn,-5.1587065049688245
2025,Mid,hydrogenStorage,electricity,stExtIn,-0.0
2025,North,hydrogenStorage,electricity,stExtIn,-0.3704928145833355
2025,South,hydrogenStorage,electricity,stExtIn,-1.4147103683688225
2025,Mid,pumpedHydro,electricity,stExtOut,0.0
2025,North,pumpedHydro,electricity,stExtOut,0.0
2025,South,pumpedHydro,electricity,stExtOut,4.5582330677904475
2025,Mid,hydrogenStorage,electricity,stExtOut,0.0
2025,North,hydrogenStorage,electricity,stExtOut,0.15175385685333329
2025,South,hydrogenStorage,electricity,stExtOut,0.5794653668838625
